usage_date,platform_key,identity_key,model_key,cost_center_key,unit_type,quantity,input_tokens,output_tokens,cached_tokens,requests,cost_usd,list_cost_usd,cost_is_estimated,has_rate_card,is_error,latency_ms,application_key,environment_key,business_unit_key
2026-08-07,Foundry,0999cfae-085e-464f-a49d-f8851e3e5195,gpt-4.1-mini,CC-1000,token,21,14,7,0,1,1.68e-05,1.68e-05,FALSE,TRUE,False,4426.4715,APP-CHECKOUT,ENV-PROD,BU-RETAIL
2026-08-07,Foundry,unknown,gpt-4.1-mini,,token,2,1,1,0,1,2e-06,2e-06,FALSE,TRUE,None,0,APP-UNKNOWN,ENV-UNK,BU-UNALLOC
2026-08-07,Foundry,unknown,gpt-4.1-mini,,token,2,1,1,0,1,2e-06,2e-06,FALSE,TRUE,None,0,APP-UNKNOWN,ENV-UNK,BU-UNALLOC
2026-08-07,Foundry,7bec6f27-dc94-4d6d-b89a-3969513bc71e,nonexistent-model,CC-4000,token,0,0,0,0,1,0.0,0.0,FALSE,FALSE,True,3572.0459,APP-MOBILE,ENV-TEST,BU-RETAIL
2026-08-07,Foundry,62a2cc36-edb8-4520-b7fe-05433a160c32,gpt-4.1-mini,CC-3000,token,508,308,200,0,1,0.0004432,0.0004432,FALSE,TRUE,False,6037.933,APP-DSNB,ENV-DEV,BU-PLATFORM
2026-08-07,Foundry,0999cfae-085e-464f-a49d-f8851e3e5195,gpt-4.1,CC-1000,token,108,13,95,0,1,0.000786,0.000786,FALSE,TRUE,False,8296.5003,APP-CHECKOUT,ENV-PROD,BU-RETAIL
2026-08-07,Foundry,dd6d3503-88f1-4fc9-a4d0-1a79c3aaf364,gpt-4.1-mini,CC-2000,token,93,13,80,0,1,0.0001332,0.0001332,FALSE,TRUE,False,8224.7831,APP-SEARCH,ENV-PROD,BU-DISCOVERY
2026-08-07,Foundry,0999cfae-085e-464f-a49d-f8851e3e5195,gpt-4.1,CC-1000,token,126,13,113,0,1,0.00093,0.00093,FALSE,TRUE,False,8488.1308,APP-CHECKOUT,ENV-PROD,BU-RETAIL
2026-08-07,Foundry,dd6d3503-88f1-4fc9-a4d0-1a79c3aaf364,gpt-4.1-mini,CC-2000,token,36,16,20,0,1,3.84e-05,3.84e-05,FALSE,TRUE,False,28030.7314,APP-SEARCH,ENV-PROD,BU-DISCOVERY
2026-08-07,Foundry,0999cfae-085e-464f-a49d-f8851e3e5195,gpt-4.1,CC-1000,token,38,16,22,0,1,0.000208,0.000208,FALSE,TRUE,False,3528.144,APP-CHECKOUT,ENV-PROD,BU-RETAIL
