@odata.etag,msdyn_aieventid,createdon,msdyn_eventtimestamp,msdyn_eventtype,msdyn_billingtype,msdyn_creditconsumed,msdyn_ismeteredevent,msdyn_conversationid,msdyn_sessionid,_msdyn_botid_value,_msdyn_botid_value@OData.Community.Display.V1.FormattedValue,_msdyn_environmentid_value,_msdyn_environmentid_value@OData.Community.Display.V1.FormattedValue,msdyn_channel,msdyn_outcome,statecode,statuscode,versionnumber,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
"W/""8742766""",073372c0-8123-8f51-5251-ac2b1de335c2,2026-08-01T09:04:38Z,2026-08-01T09:04:38Z,Classic answer,Zero-rated,0,false,a0b5ff79-5f19-287a-cdb2-18f182b9da38,b198aae1-f8be-e2ce-1553-e9f01f95fd31,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Microsoft Teams,Escalated,0,1,13120537,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""3711208""",0f41c628-57f4-aba7-da90-d76cb9b3e516,2026-08-01T09:10:52Z,2026-08-01T09:10:52Z,Classic answer,Billed,24,true,f9f04a1f-1d10-6f91-1368-5e0dd6d34231,74a36f5b-80f0-0348-e7c6-ab322aa3cf39,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Web chat,Resolved,0,1,79967130,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""1922485""",8ec67684-3f0c-7e4a-7c2a-29d496ca6de4,2026-08-01T08:12:36Z,2026-08-01T08:12:36Z,Generative answer,Billed,112,true,96e23f3f-9dd1-2d2b-7056-c0c8021e8345,f454cbfb-9aeb-011b-48c4-95d1183e4993,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Microsoft Teams,Escalated,0,1,24424410,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""6083353""",b44a8c33-61a5-e9ec-417d-76dd1f4cd5b2,2026-08-01T12:23:07Z,2026-08-01T12:23:07Z,Generative answer,Billed,14,true,ffe2ed74-cb20-b628-806e-930089bf4761,516c8225-7eac-608e-c9a4-34c91ef2b337,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Web chat,Resolved,0,1,15654768,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""5016828""",10bf8cc3-989d-23b3-ee47-ba0056dd14df,2026-08-01T11:50:18Z,2026-08-01T11:50:18Z,Generative answer,Billed,80,true,55ef9130-77b2-afa6-28c0-df38d10924d2,6ac24c11-f5e5-b7a2-3a53-8294e03a6cd8,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Custom website,Resolved,0,1,50423135,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""4073568""",3162c152-aecb-8744-3ac4-10ccc3d914ac,2026-08-01T19:03:22Z,2026-08-01T19:03:22Z,Agent action,Billed,132,true,b898137f-a916-f5dd-bb63-7777f0f95657,03753465-566c-a730-79fa-2d514ed05f80,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Custom website,Resolved,0,1,74964934,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""7327358""",d7f31656-4527-efb4-d759-61a6ee17d954,2026-08-01T19:26:12Z,2026-08-01T19:26:12Z,Agent action,Billed,81,true,ef832bbd-a179-197f-fc4d-4a9808fbd8e7,870713a7-5e7d-482c-ab62-57fba19fa30b,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Web chat,Abandoned,0,1,84172879,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""8971835""",05fd3611-fb53-ab5c-788c-bda715b9a6f1,2026-08-01T13:22:28Z,2026-08-01T13:22:28Z,Agent action,Zero-rated,0,false,5c605c5e-7389-1a56-d7f7-c87171483cf3,e5a14a80-ff3a-eb4a-6d1d-167278ec64b9,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Web chat,Resolved,0,1,71993288,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""1565780""",c2e552c5-c732-ece8-2c2b-e64b48f9b17a,2026-08-01T19:24:06Z,2026-08-01T19:24:06Z,Agent action,Zero-rated,0,false,79077353-055d-f0ca-3ff8-9cf708728b55,bbde5189-b43f-b27b-ebc7-a4bd34eddad4,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Web chat,Resolved,0,1,85408922,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""8833403""",b89d7310-0265-a891-056a-922d894f0b03,2026-08-01T16:04:20Z,2026-08-01T16:04:20Z,Agent action,Billed,42,true,a6ddebc4-dce4-8c87-ee59-e4ff778943ed,e3d44ecc-6256-8c20-8fb1-0eedda322f3c,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Microsoft Teams,Escalated,0,1,91193369,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
