BilledCost,BillingAccountId,BillingAccountName,BillingAccountType,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountStatus,CommitmentDiscountType,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,SkuId,SkuPriceId,SubAccountId,SubAccountName,SubAccountType,Tags,x_AccountId,x_AccountName,x_AccountOwnerId,x_BilledCostInUsd,x_BilledUnitPrice,x_BillingAccountId,x_BillingAccountName,x_BillingExchangeRate,x_BillingExchangeRateDate,x_BillingProfileId,x_BillingProfileName,x_ContractedCostInUsd,x_CostAllocationRuleName,x_CostCenter,x_CustomerId,x_CustomerName,x_EffectiveCostInUsd,x_EffectiveUnitPrice,x_InvoiceId,x_InvoiceIssuerId,x_InvoiceSectionId,x_InvoiceSectionName,x_ListCostInUsd,x_PartnerCreditApplied,x_PartnerCreditRate,x_PricingBlockSize,x_PricingCurrency,x_PricingSubcategory,x_PricingUnitDescription,x_PublisherCategory,x_PublisherId,x_ResellerId,x_ResellerName,x_ResourceGroupName,x_ResourceType,x_ServicePeriodEnd,x_ServicePeriodStart,x_SkuDescription,x_SkuDetails,x_SkuIsCreditEligible,x_SkuMeterCategory,x_SkuMeterId,x_SkuMeterName,x_SkuMeterSubcategory,x_SkuOfferId,x_SkuOrderId,x_SkuOrderName,x_SkuPartNumber,x_SkuRegion,x_SkuServiceFamily,x_SkuTerm,x_SkuTier,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
0.002725,EA-7654321,Contoso Enterprise Agreement,EA,USD,2026-07-01T00:00:00Z,2026-06-01T00:00:00Z,Usage,,gpt-4.1 Cached Input Tokens,Usage-Based,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,,,,,,6412,Tokens,0.002725,0.000425,0.002725,Microsoft,0.003206,0.0005,Standard,6.412,1K Tokens,Microsoft,Microsoft,eastus2,East US 2,/subscriptions/68837237-5a48-41a9-bed4-947f5c277684/resourceGroups/rg-aoai-prod/providers/Microsoft.CognitiveServices/accounts/aoai-checkout-prod,aoai-checkout-prod,AI and Machine Learning,AI and Machine Learning,Azure OpenAI Service,gpt-4.1-cached,5b0c47ae-91ad-5f39-a2bd-77d5c6a41f83,68837237-5a48-41a9-bed4-947f5c277684,Contoso AI Platform,Subscription,"{""app"":""APP-CHECKOUT"",""bu"":""BU-RETAIL"",""env"":""ENV-PROD""}",EA-ACCOUNT-1001,AI Platform Account,finops-owner@contoso.example,0.002725,0.000425,EA-7654321,Contoso Enterprise Agreement,1,2026-06-01,EA-7654321,Contoso Enterprise Agreement,0.002725,,CC-1000,,,0.002725,0.000425,,,EA-DEPT-042,AI and Data,0.003206,,,1000,USD,On Demand,1K Tokens,Cloud Provider,Microsoft,,,rg-aoai-prod,microsoft.cognitiveservices/accounts,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,gpt-4.1 Cached Input Tokens,"{""model"":""gpt-4.1"",""tokenType"":""Cached""}",True,Azure OpenAI,5b0c47ae-91ad-5f39-a2bd-77d5c6a41f83,gpt-4.1 Cached Input Tokens,gpt-4.1,MS-AZR-0017P,,,AOAI-GPT-4.1-CACHED,East US 2,AI + Machine Learning,,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.exports.focus-1.0r2,2026-06-30,batch-2026-09-04,MOCK
0.207436,EA-7654321,Contoso Enterprise Agreement,EA,USD,2026-07-01T00:00:00Z,2026-06-01T00:00:00Z,Usage,,gpt-4.1 Input Tokens,Usage-Based,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,,,,,,122021,Tokens,0.207436,0.0017,0.207436,Microsoft,0.244042,0.002,Standard,122.021,1K Tokens,Microsoft,Microsoft,eastus2,East US 2,/subscriptions/68837237-5a48-41a9-bed4-947f5c277684/resourceGroups/rg-aoai-prod/providers/Microsoft.CognitiveServices/accounts/aoai-checkout-prod,aoai-checkout-prod,AI and Machine Learning,AI and Machine Learning,Azure OpenAI Service,gpt-4.1-input,22c19c9a-bdbb-5481-969f-a54f3f93391a,68837237-5a48-41a9-bed4-947f5c277684,Contoso AI Platform,Subscription,"{""app"":""APP-CHECKOUT"",""bu"":""BU-RETAIL"",""env"":""ENV-PROD""}",EA-ACCOUNT-1001,AI Platform Account,finops-owner@contoso.example,0.207436,0.0017,EA-7654321,Contoso Enterprise Agreement,1,2026-06-01,EA-7654321,Contoso Enterprise Agreement,0.207436,,CC-1000,,,0.207436,0.0017,,,EA-DEPT-042,AI and Data,0.244042,,,1000,USD,On Demand,1K Tokens,Cloud Provider,Microsoft,,,rg-aoai-prod,microsoft.cognitiveservices/accounts,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,gpt-4.1 Input Tokens,"{""model"":""gpt-4.1"",""tokenType"":""Input""}",True,Azure OpenAI,22c19c9a-bdbb-5481-969f-a54f3f93391a,gpt-4.1 Input Tokens,gpt-4.1,MS-AZR-0017P,,,AOAI-GPT-4.1-INPUT,East US 2,AI + Machine Learning,,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.exports.focus-1.0r2,2026-06-30,batch-2026-09-04,MOCK
0.115722,EA-7654321,Contoso Enterprise Agreement,EA,USD,2026-07-01T00:00:00Z,2026-06-01T00:00:00Z,Usage,,gpt-4.1 Output Tokens,Usage-Based,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,,,,,,17018,Tokens,0.115722,0.0068,0.115722,Microsoft,0.136144,0.008,Standard,17.018,1K Tokens,Microsoft,Microsoft,eastus2,East US 2,/subscriptions/68837237-5a48-41a9-bed4-947f5c277684/resourceGroups/rg-aoai-prod/providers/Microsoft.CognitiveServices/accounts/aoai-checkout-prod,aoai-checkout-prod,AI and Machine Learning,AI and Machine Learning,Azure OpenAI Service,gpt-4.1-output,73fcd9cf-82df-5fb5-89d4-1448394f0f1e,68837237-5a48-41a9-bed4-947f5c277684,Contoso AI Platform,Subscription,"{""app"":""APP-CHECKOUT"",""bu"":""BU-RETAIL"",""env"":""ENV-PROD""}",EA-ACCOUNT-1001,AI Platform Account,finops-owner@contoso.example,0.115722,0.0068,EA-7654321,Contoso Enterprise Agreement,1,2026-06-01,EA-7654321,Contoso Enterprise Agreement,0.115722,,CC-1000,,,0.115722,0.0068,,,EA-DEPT-042,AI and Data,0.136144,,,1000,USD,On Demand,1K Tokens,Cloud Provider,Microsoft,,,rg-aoai-prod,microsoft.cognitiveservices/accounts,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,gpt-4.1 Output Tokens,"{""model"":""gpt-4.1"",""tokenType"":""Output""}",True,Azure OpenAI,73fcd9cf-82df-5fb5-89d4-1448394f0f1e,gpt-4.1 Output Tokens,gpt-4.1,MS-AZR-0017P,,,AOAI-GPT-4.1-OUTPUT,East US 2,AI + Machine Learning,,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.exports.focus-1.0r2,2026-06-30,batch-2026-09-04,MOCK
0.02017,EA-7654321,Contoso Enterprise Agreement,EA,USD,2026-07-01T00:00:00Z,2026-06-01T00:00:00Z,Usage,,gpt-4.1-mini Input Tokens,Usage-Based,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,,,,,,59323,Tokens,0.02017,0.00034,0.02017,Microsoft,0.023729,0.0004,Standard,59.323,1K Tokens,Microsoft,Microsoft,eastus2,East US 2,/subscriptions/68837237-5a48-41a9-bed4-947f5c277684/resourceGroups/rg-aoai-prod/providers/Microsoft.CognitiveServices/accounts/aoai-checkout-prod,aoai-checkout-prod,AI and Machine Learning,AI and Machine Learning,Azure OpenAI Service,gpt-4.1-mini-input,9d25a9f8-1c8e-5e82-949f-a69580f18e8d,68837237-5a48-41a9-bed4-947f5c277684,Contoso AI Platform,Subscription,"{""app"":""APP-CHECKOUT"",""bu"":""BU-RETAIL"",""env"":""ENV-PROD""}",EA-ACCOUNT-1001,AI Platform Account,finops-owner@contoso.example,0.02017,0.00034,EA-7654321,Contoso Enterprise Agreement,1,2026-06-01,EA-7654321,Contoso Enterprise Agreement,0.02017,,CC-1000,,,0.02017,0.00034,,,EA-DEPT-042,AI and Data,0.023729,,,1000,USD,On Demand,1K Tokens,Cloud Provider,Microsoft,,,rg-aoai-prod,microsoft.cognitiveservices/accounts,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,gpt-4.1-mini Input Tokens,"{""model"":""gpt-4.1-mini"",""tokenType"":""Input""}",True,Azure OpenAI,9d25a9f8-1c8e-5e82-949f-a69580f18e8d,gpt-4.1-mini Input Tokens,gpt-4.1-mini,MS-AZR-0017P,,,AOAI-GPT-4.1-MINI-INPUT,East US 2,AI + Machine Learning,,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.exports.focus-1.0r2,2026-06-30,batch-2026-09-04,MOCK
0.012228,EA-7654321,Contoso Enterprise Agreement,EA,USD,2026-07-01T00:00:00Z,2026-06-01T00:00:00Z,Usage,,gpt-4.1-mini Output Tokens,Usage-Based,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,,,,,,8991,Tokens,0.012228,0.00136,0.012228,Microsoft,0.014386,0.0016,Standard,8.991,1K Tokens,Microsoft,Microsoft,eastus2,East US 2,/subscriptions/68837237-5a48-41a9-bed4-947f5c277684/resourceGroups/rg-aoai-prod/providers/Microsoft.CognitiveServices/accounts/aoai-checkout-prod,aoai-checkout-prod,AI and Machine Learning,AI and Machine Learning,Azure OpenAI Service,gpt-4.1-mini-output,ce8b7b6e-f4d1-5b56-beca-4ea97224f27b,68837237-5a48-41a9-bed4-947f5c277684,Contoso AI Platform,Subscription,"{""app"":""APP-CHECKOUT"",""bu"":""BU-RETAIL"",""env"":""ENV-PROD""}",EA-ACCOUNT-1001,AI Platform Account,finops-owner@contoso.example,0.012228,0.00136,EA-7654321,Contoso Enterprise Agreement,1,2026-06-01,EA-7654321,Contoso Enterprise Agreement,0.012228,,CC-1000,,,0.012228,0.00136,,,EA-DEPT-042,AI and Data,0.014386,,,1000,USD,On Demand,1K Tokens,Cloud Provider,Microsoft,,,rg-aoai-prod,microsoft.cognitiveservices/accounts,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,gpt-4.1-mini Output Tokens,"{""model"":""gpt-4.1-mini"",""tokenType"":""Output""}",True,Azure OpenAI,ce8b7b6e-f4d1-5b56-beca-4ea97224f27b,gpt-4.1-mini Output Tokens,gpt-4.1-mini,MS-AZR-0017P,,,AOAI-GPT-4.1-MINI-OUTPUT,East US 2,AI + Machine Learning,,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.exports.focus-1.0r2,2026-06-30,batch-2026-09-04,MOCK
0.004233,EA-7654321,Contoso Enterprise Agreement,EA,USD,2026-07-01T00:00:00Z,2026-06-01T00:00:00Z,Usage,,gpt-4.1 Cached Input Tokens,Usage-Based,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,,,,,,9959,Tokens,0.004233,0.000425,0.004233,Microsoft,0.004979,0.0005,Standard,9.959,1K Tokens,Microsoft,Microsoft,eastus2,East US 2,/subscriptions/68837237-5a48-41a9-bed4-947f5c277684/resourceGroups/rg-aoai-prod/providers/Microsoft.CognitiveServices/accounts/aoai-datascience-dev,aoai-datascience-dev,AI and Machine Learning,AI and Machine Learning,Azure OpenAI Service,gpt-4.1-cached,5b0c47ae-91ad-5f39-a2bd-77d5c6a41f83,68837237-5a48-41a9-bed4-947f5c277684,Contoso AI Platform,Subscription,"{""app"":""APP-DSNB"",""bu"":""BU-PLATFORM"",""env"":""ENV-DEV""}",EA-ACCOUNT-1001,AI Platform Account,finops-owner@contoso.example,0.004233,0.000425,EA-7654321,Contoso Enterprise Agreement,1,2026-06-01,EA-7654321,Contoso Enterprise Agreement,0.004233,,CC-3000,,,0.004233,0.000425,,,EA-DEPT-042,AI and Data,0.004979,,,1000,USD,On Demand,1K Tokens,Cloud Provider,Microsoft,,,rg-aoai-prod,microsoft.cognitiveservices/accounts,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,gpt-4.1 Cached Input Tokens,"{""model"":""gpt-4.1"",""tokenType"":""Cached""}",True,Azure OpenAI,5b0c47ae-91ad-5f39-a2bd-77d5c6a41f83,gpt-4.1 Cached Input Tokens,gpt-4.1,MS-AZR-0017P,,,AOAI-GPT-4.1-CACHED,East US 2,AI + Machine Learning,,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.exports.focus-1.0r2,2026-06-30,batch-2026-09-04,MOCK
0.288985,EA-7654321,Contoso Enterprise Agreement,EA,USD,2026-07-01T00:00:00Z,2026-06-01T00:00:00Z,Usage,,gpt-4.1 Input Tokens,Usage-Based,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,,,,,,169991,Tokens,0.288985,0.0017,0.288985,Microsoft,0.339982,0.002,Standard,169.991,1K Tokens,Microsoft,Microsoft,eastus2,East US 2,/subscriptions/68837237-5a48-41a9-bed4-947f5c277684/resourceGroups/rg-aoai-prod/providers/Microsoft.CognitiveServices/accounts/aoai-datascience-dev,aoai-datascience-dev,AI and Machine Learning,AI and Machine Learning,Azure OpenAI Service,gpt-4.1-input,22c19c9a-bdbb-5481-969f-a54f3f93391a,68837237-5a48-41a9-bed4-947f5c277684,Contoso AI Platform,Subscription,"{""app"":""APP-DSNB"",""bu"":""BU-PLATFORM"",""env"":""ENV-DEV""}",EA-ACCOUNT-1001,AI Platform Account,finops-owner@contoso.example,0.288985,0.0017,EA-7654321,Contoso Enterprise Agreement,1,2026-06-01,EA-7654321,Contoso Enterprise Agreement,0.288985,,CC-3000,,,0.288985,0.0017,,,EA-DEPT-042,AI and Data,0.339982,,,1000,USD,On Demand,1K Tokens,Cloud Provider,Microsoft,,,rg-aoai-prod,microsoft.cognitiveservices/accounts,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,gpt-4.1 Input Tokens,"{""model"":""gpt-4.1"",""tokenType"":""Input""}",True,Azure OpenAI,22c19c9a-bdbb-5481-969f-a54f3f93391a,gpt-4.1 Input Tokens,gpt-4.1,MS-AZR-0017P,,,AOAI-GPT-4.1-INPUT,East US 2,AI + Machine Learning,,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.exports.focus-1.0r2,2026-06-30,batch-2026-09-04,MOCK
0.155999,EA-7654321,Contoso Enterprise Agreement,EA,USD,2026-07-01T00:00:00Z,2026-06-01T00:00:00Z,Usage,,gpt-4.1 Output Tokens,Usage-Based,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,,,,,,22941,Tokens,0.155999,0.0068,0.155999,Microsoft,0.183528,0.008,Standard,22.941,1K Tokens,Microsoft,Microsoft,eastus2,East US 2,/subscriptions/68837237-5a48-41a9-bed4-947f5c277684/resourceGroups/rg-aoai-prod/providers/Microsoft.CognitiveServices/accounts/aoai-datascience-dev,aoai-datascience-dev,AI and Machine Learning,AI and Machine Learning,Azure OpenAI Service,gpt-4.1-output,73fcd9cf-82df-5fb5-89d4-1448394f0f1e,68837237-5a48-41a9-bed4-947f5c277684,Contoso AI Platform,Subscription,"{""app"":""APP-DSNB"",""bu"":""BU-PLATFORM"",""env"":""ENV-DEV""}",EA-ACCOUNT-1001,AI Platform Account,finops-owner@contoso.example,0.155999,0.0068,EA-7654321,Contoso Enterprise Agreement,1,2026-06-01,EA-7654321,Contoso Enterprise Agreement,0.155999,,CC-3000,,,0.155999,0.0068,,,EA-DEPT-042,AI and Data,0.183528,,,1000,USD,On Demand,1K Tokens,Cloud Provider,Microsoft,,,rg-aoai-prod,microsoft.cognitiveservices/accounts,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,gpt-4.1 Output Tokens,"{""model"":""gpt-4.1"",""tokenType"":""Output""}",True,Azure OpenAI,73fcd9cf-82df-5fb5-89d4-1448394f0f1e,gpt-4.1 Output Tokens,gpt-4.1,MS-AZR-0017P,,,AOAI-GPT-4.1-OUTPUT,East US 2,AI + Machine Learning,,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.exports.focus-1.0r2,2026-06-30,batch-2026-09-04,MOCK
0.001265,EA-7654321,Contoso Enterprise Agreement,EA,USD,2026-07-01T00:00:00Z,2026-06-01T00:00:00Z,Usage,,gpt-4.1-mini Cached Input Tokens,Usage-Based,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,,,,,,14882,Tokens,0.001265,8.5e-05,0.001265,Microsoft,0.001488,0.0001,Standard,14.882,1K Tokens,Microsoft,Microsoft,eastus2,East US 2,/subscriptions/68837237-5a48-41a9-bed4-947f5c277684/resourceGroups/rg-aoai-prod/providers/Microsoft.CognitiveServices/accounts/aoai-datascience-dev,aoai-datascience-dev,AI and Machine Learning,AI and Machine Learning,Azure OpenAI Service,gpt-4.1-mini-cached,a3f1d0b2-6d52-5c74-8f0a-19a2f1cbb6d4,68837237-5a48-41a9-bed4-947f5c277684,Contoso AI Platform,Subscription,"{""app"":""APP-DSNB"",""bu"":""BU-PLATFORM"",""env"":""ENV-DEV""}",EA-ACCOUNT-1001,AI Platform Account,finops-owner@contoso.example,0.001265,8.5e-05,EA-7654321,Contoso Enterprise Agreement,1,2026-06-01,EA-7654321,Contoso Enterprise Agreement,0.001265,,CC-3000,,,0.001265,8.5e-05,,,EA-DEPT-042,AI and Data,0.001488,,,1000,USD,On Demand,1K Tokens,Cloud Provider,Microsoft,,,rg-aoai-prod,microsoft.cognitiveservices/accounts,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,gpt-4.1-mini Cached Input Tokens,"{""model"":""gpt-4.1-mini"",""tokenType"":""Cached""}",True,Azure OpenAI,a3f1d0b2-6d52-5c74-8f0a-19a2f1cbb6d4,gpt-4.1-mini Cached Input Tokens,gpt-4.1-mini,MS-AZR-0017P,,,AOAI-GPT-4.1-MINI-CACHED,East US 2,AI + Machine Learning,,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.exports.focus-1.0r2,2026-06-30,batch-2026-09-04,MOCK
0.057964,EA-7654321,Contoso Enterprise Agreement,EA,USD,2026-07-01T00:00:00Z,2026-06-01T00:00:00Z,Usage,,gpt-4.1-mini Input Tokens,Usage-Based,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,,,,,,170482,Tokens,0.057964,0.00034,0.057964,Microsoft,0.068193,0.0004,Standard,170.482,1K Tokens,Microsoft,Microsoft,eastus2,East US 2,/subscriptions/68837237-5a48-41a9-bed4-947f5c277684/resourceGroups/rg-aoai-prod/providers/Microsoft.CognitiveServices/accounts/aoai-datascience-dev,aoai-datascience-dev,AI and Machine Learning,AI and Machine Learning,Azure OpenAI Service,gpt-4.1-mini-input,9d25a9f8-1c8e-5e82-949f-a69580f18e8d,68837237-5a48-41a9-bed4-947f5c277684,Contoso AI Platform,Subscription,"{""app"":""APP-DSNB"",""bu"":""BU-PLATFORM"",""env"":""ENV-DEV""}",EA-ACCOUNT-1001,AI Platform Account,finops-owner@contoso.example,0.057964,0.00034,EA-7654321,Contoso Enterprise Agreement,1,2026-06-01,EA-7654321,Contoso Enterprise Agreement,0.057964,,CC-3000,,,0.057964,0.00034,,,EA-DEPT-042,AI and Data,0.068193,,,1000,USD,On Demand,1K Tokens,Cloud Provider,Microsoft,,,rg-aoai-prod,microsoft.cognitiveservices/accounts,2026-07-01T00:00:00Z,2026-06-30T00:00:00Z,gpt-4.1-mini Input Tokens,"{""model"":""gpt-4.1-mini"",""tokenType"":""Input""}",True,Azure OpenAI,9d25a9f8-1c8e-5e82-949f-a69580f18e8d,gpt-4.1-mini Input Tokens,gpt-4.1-mini,MS-AZR-0017P,,,AOAI-GPT-4.1-MINI-INPUT,East US 2,AI + Machine Learning,,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.exports.focus-1.0r2,2026-06-30,batch-2026-09-04,MOCK
