date,product,sku,model,modelMultiplier,quantity,unitType,pricePerUnit,grossAmount,discountAmount,netAmount,organizationName,repositoryName,username,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-08-01,copilot,copilot_premium_request,claude-sonnet-4.5,1,50,premium_request,0.04,2.0,0.1,1.9,contoso,contoso/search,kim-arroyo,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-01,batch-2026-09-04,MOCK
2026-08-01,copilot,copilot_premium_request,gpt-4.1,1,13,premium_request,0.04,0.52,0.026,0.494,contoso,contoso/platform,robin-hale,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-01,batch-2026-09-04,MOCK
2026-08-01,copilot,copilot_premium_request,code-review,13,32,premium_request,0.04,16.64,0.832,15.808,contoso,contoso/platform,aisha-rahman,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-01,batch-2026-09-04,MOCK
2026-08-01,copilot,copilot_premium_request,claude-sonnet-4.5,1,46,premium_request,0.04,1.84,0.092,1.748,contoso,contoso/checkout,dev-patel,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-01,batch-2026-09-04,MOCK
2026-08-02,copilot,copilot_premium_request,o3,10,3,premium_request,0.04,1.2,0.06,1.14,contoso,contoso/search,jenny-oyelaran,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-02,batch-2026-09-04,MOCK
2026-08-02,copilot,copilot_premium_request,code-review,13,7,premium_request,0.04,3.64,0.182,3.458,contoso,contoso/search,dev-patel,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-02,batch-2026-09-04,MOCK
2026-08-02,copilot,copilot_premium_request,o3,10,27,premium_request,0.04,10.8,0.54,10.26,contoso,contoso/search,robin-hale,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-02,batch-2026-09-04,MOCK
2026-08-02,copilot,copilot_premium_request,code-review,13,4,premium_request,0.04,2.08,0.104,1.976,contoso,contoso/checkout,sam-chen,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-02,batch-2026-09-04,MOCK
2026-08-03,copilot,copilot_premium_request,code-review,13,47,premium_request,0.04,24.44,1.222,23.218,contoso,contoso/checkout,jenny-oyelaran,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-03,batch-2026-09-04,MOCK
2026-08-03,copilot,copilot_premium_request,o3,10,51,premium_request,0.04,20.4,1.02,19.38,contoso,contoso/checkout,robin-hale,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-03,batch-2026-09-04,MOCK
2026-08-03,copilot,copilot_premium_request,o3,10,16,premium_request,0.04,6.4,0.32,6.08,contoso,contoso/checkout,sam-chen,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-03,batch-2026-09-04,MOCK
2026-08-03,copilot,copilot_premium_request,code-review,13,3,premium_request,0.04,1.56,0.078,1.482,contoso,contoso/search,kim-arroyo,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-03,batch-2026-09-04,MOCK
2026-08-04,copilot,copilot_premium_request,code-review,13,25,premium_request,0.04,13.0,0.65,12.35,contoso,contoso/platform,sam-chen,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-04,batch-2026-09-04,MOCK
2026-08-04,copilot,copilot_premium_request,o3,10,7,premium_request,0.04,2.8,0.14,2.66,contoso,contoso/checkout,robin-hale,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-04,batch-2026-09-04,MOCK
2026-08-04,copilot,copilot_premium_request,claude-sonnet-4.5,1,49,premium_request,0.04,1.96,0.098,1.862,contoso,contoso/search,jenny-oyelaran,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-04,batch-2026-09-04,MOCK
2026-08-04,copilot,copilot_premium_request,gpt-4.1,1,54,premium_request,0.04,2.16,0.108,2.052,contoso,contoso/platform,kim-arroyo,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-04,batch-2026-09-04,MOCK
2026-08-05,copilot,copilot_premium_request,claude-sonnet-4.5,1,29,premium_request,0.04,1.16,0.058,1.102,contoso,contoso/platform,jenny-oyelaran,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-05,batch-2026-09-04,MOCK
2026-08-05,copilot,copilot_premium_request,code-review,13,57,premium_request,0.04,29.64,1.482,28.158,contoso,contoso/checkout,robin-hale,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-05,batch-2026-09-04,MOCK
2026-08-05,copilot,copilot_premium_request,o3,10,20,premium_request,0.04,8.0,0.4,7.6,contoso,contoso/search,sam-chen,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-05,batch-2026-09-04,MOCK
2026-08-05,copilot,copilot_premium_request,gpt-4.1,1,35,premium_request,0.04,1.4,0.07,1.33,contoso,contoso/platform,dev-patel,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-05,batch-2026-09-04,MOCK
2026-08-06,copilot,copilot_premium_request,gpt-4.1,1,42,premium_request,0.04,1.68,0.084,1.596,contoso,contoso/search,sam-chen,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-06,batch-2026-09-04,MOCK
