usage_date,environment_id,agent_id,agent_name,action_type,credit_rate,credits_consumed,cost_usd,session_count,owner_business_unit_key,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-09-08,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,classic_answer,1,3970,39.7,98,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-08,batch-2026-09-04,MOCK
2026-09-08,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,generative_answer,2,6237,62.37,26,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-08,batch-2026-09-04,MOCK
2026-09-08,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,agent_action,3,4933,49.33,25,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-08,batch-2026-09-04,MOCK
2026-09-08,ENV-PROD,claims-triage-agent,Claims Triage Agent,classic_answer,1,7825,78.25,27,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-08,batch-2026-09-04,MOCK
2026-09-08,ENV-PROD,claims-triage-agent,Claims Triage Agent,generative_answer,2,4367,43.67,18,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-08,batch-2026-09-04,MOCK
2026-09-08,ENV-PROD,claims-triage-agent,Claims Triage Agent,agent_action,3,2851,28.51,114,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-08,batch-2026-09-04,MOCK
2026-09-08,ENV-PROD,store-ops-assistant,Store Ops Assistant,classic_answer,1,1974,19.74,44,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-08,batch-2026-09-04,MOCK
2026-09-08,ENV-PROD,store-ops-assistant,Store Ops Assistant,generative_answer,2,6773,67.73,174,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-08,batch-2026-09-04,MOCK
2026-09-08,ENV-PROD,store-ops-assistant,Store Ops Assistant,agent_action,3,6474,64.74,175,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-08,batch-2026-09-04,MOCK
2026-09-07,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,classic_answer,1,3943,39.43,105,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-07,batch-2026-09-04,MOCK
2026-09-07,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,generative_answer,2,7801,78.01,107,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-07,batch-2026-09-04,MOCK
2026-09-07,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,agent_action,3,4174,41.74,106,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-07,batch-2026-09-04,MOCK
2026-09-07,ENV-PROD,claims-triage-agent,Claims Triage Agent,classic_answer,1,3577,35.77,30,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-07,batch-2026-09-04,MOCK
2026-09-07,ENV-PROD,claims-triage-agent,Claims Triage Agent,generative_answer,2,6092,60.92,179,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-07,batch-2026-09-04,MOCK
2026-09-07,ENV-PROD,claims-triage-agent,Claims Triage Agent,agent_action,3,7664,76.64,148,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-07,batch-2026-09-04,MOCK
2026-09-07,ENV-PROD,store-ops-assistant,Store Ops Assistant,classic_answer,1,1589,15.89,177,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-07,batch-2026-09-04,MOCK
2026-09-07,ENV-PROD,store-ops-assistant,Store Ops Assistant,generative_answer,2,7547,75.47,99,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-07,batch-2026-09-04,MOCK
2026-09-07,ENV-PROD,store-ops-assistant,Store Ops Assistant,agent_action,3,1471,14.71,55,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-07,batch-2026-09-04,MOCK
2026-09-06,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,classic_answer,1,4901,49.01,110,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-06,batch-2026-09-04,MOCK
2026-09-06,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,generative_answer,2,4832,48.32,42,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-06,batch-2026-09-04,MOCK
2026-09-06,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,agent_action,3,6462,64.62,67,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-06,batch-2026-09-04,MOCK
2026-09-06,ENV-PROD,claims-triage-agent,Claims Triage Agent,classic_answer,1,7338,73.38,10,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-06,batch-2026-09-04,MOCK
2026-09-06,ENV-PROD,claims-triage-agent,Claims Triage Agent,generative_answer,2,6694,66.94,15,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-06,batch-2026-09-04,MOCK
2026-09-06,ENV-PROD,claims-triage-agent,Claims Triage Agent,agent_action,3,2944,29.44,128,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-06,batch-2026-09-04,MOCK
2026-09-06,ENV-PROD,store-ops-assistant,Store Ops Assistant,classic_answer,1,6017,60.17,194,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-06,batch-2026-09-04,MOCK
2026-09-06,ENV-PROD,store-ops-assistant,Store Ops Assistant,generative_answer,2,4960,49.6,118,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-06,batch-2026-09-04,MOCK
2026-09-06,ENV-PROD,store-ops-assistant,Store Ops Assistant,agent_action,3,4857,48.57,107,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-06,batch-2026-09-04,MOCK
2026-09-05,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,classic_answer,1,7244,72.44,68,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-05,batch-2026-09-04,MOCK
2026-09-05,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,generative_answer,2,2527,25.27,127,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-05,batch-2026-09-04,MOCK
2026-09-05,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,agent_action,3,3335,33.35,49,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-05,batch-2026-09-04,MOCK
2026-09-05,ENV-PROD,claims-triage-agent,Claims Triage Agent,classic_answer,1,2758,27.58,58,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-05,batch-2026-09-04,MOCK
2026-09-05,ENV-PROD,claims-triage-agent,Claims Triage Agent,generative_answer,2,7669,76.69,195,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-05,batch-2026-09-04,MOCK
2026-09-05,ENV-PROD,claims-triage-agent,Claims Triage Agent,agent_action,3,6770,67.7,38,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-05,batch-2026-09-04,MOCK
2026-09-05,ENV-PROD,store-ops-assistant,Store Ops Assistant,classic_answer,1,763,7.63,179,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-05,batch-2026-09-04,MOCK
2026-09-05,ENV-PROD,store-ops-assistant,Store Ops Assistant,generative_answer,2,3934,39.34,167,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-05,batch-2026-09-04,MOCK
2026-09-05,ENV-PROD,store-ops-assistant,Store Ops Assistant,agent_action,3,6775,67.75,14,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-05,batch-2026-09-04,MOCK
2026-09-04,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,classic_answer,1,2471,24.71,62,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-04,batch-2026-09-04,MOCK
2026-09-04,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,generative_answer,2,1051,10.51,35,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-04,batch-2026-09-04,MOCK
2026-09-04,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,agent_action,3,5365,53.65,18,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-04,batch-2026-09-04,MOCK
2026-09-04,ENV-PROD,claims-triage-agent,Claims Triage Agent,classic_answer,1,4157,41.57,163,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-04,batch-2026-09-04,MOCK
2026-09-04,ENV-PROD,claims-triage-agent,Claims Triage Agent,generative_answer,2,6005,60.05,190,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-04,batch-2026-09-04,MOCK
2026-09-04,ENV-PROD,claims-triage-agent,Claims Triage Agent,agent_action,3,7645,76.45,22,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-04,batch-2026-09-04,MOCK
2026-09-04,ENV-PROD,store-ops-assistant,Store Ops Assistant,classic_answer,1,2504,25.04,199,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-04,batch-2026-09-04,MOCK
2026-09-04,ENV-PROD,store-ops-assistant,Store Ops Assistant,generative_answer,2,862,8.62,112,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-04,batch-2026-09-04,MOCK
2026-09-04,ENV-PROD,store-ops-assistant,Store Ops Assistant,agent_action,3,4095,40.95,69,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-04,batch-2026-09-04,MOCK
2026-09-03,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,classic_answer,1,4921,49.21,65,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-03,batch-2026-09-04,MOCK
2026-09-03,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,generative_answer,2,6679,66.79,24,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-03,batch-2026-09-04,MOCK
2026-09-03,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,agent_action,3,1647,16.47,138,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-03,batch-2026-09-04,MOCK
2026-09-03,ENV-PROD,claims-triage-agent,Claims Triage Agent,classic_answer,1,2869,28.69,69,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-03,batch-2026-09-04,MOCK
2026-09-03,ENV-PROD,claims-triage-agent,Claims Triage Agent,generative_answer,2,7182,71.82,197,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-03,batch-2026-09-04,MOCK
2026-09-03,ENV-PROD,claims-triage-agent,Claims Triage Agent,agent_action,3,5219,52.19,91,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-03,batch-2026-09-04,MOCK
2026-09-03,ENV-PROD,store-ops-assistant,Store Ops Assistant,classic_answer,1,5230,52.3,163,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-03,batch-2026-09-04,MOCK
2026-09-03,ENV-PROD,store-ops-assistant,Store Ops Assistant,generative_answer,2,6828,68.28,182,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-03,batch-2026-09-04,MOCK
2026-09-03,ENV-PROD,store-ops-assistant,Store Ops Assistant,agent_action,3,7204,72.04,92,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-03,batch-2026-09-04,MOCK
2026-09-02,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,classic_answer,1,2440,24.4,87,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-02,batch-2026-09-04,MOCK
2026-09-02,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,generative_answer,2,7678,76.78,46,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-02,batch-2026-09-04,MOCK
2026-09-02,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,agent_action,3,5908,59.08,143,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-02,batch-2026-09-04,MOCK
2026-09-02,ENV-PROD,claims-triage-agent,Claims Triage Agent,classic_answer,1,2310,23.1,115,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-09-02,batch-2026-09-04,MOCK
